ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
SKSJ,medium_airport,Jorge E. Gonzalez Torres Airport,605,SA,CO,CO-GUV,San Jos? Del Guaviare,SKSJ,SJE,SKSJ,SJE,"2.57969, -72.6394"
SKSL,small_airport,Santa Rosalia Airport,400,SA,CO,CO-VID,Santa Rosalia,SKSL,SSL,SKSL,,"5.1309, -70.8682"
SKSM,medium_airport,Sim?n Bol?var International Airport,22,SA,CO,CO-MAG,Santa Marta,SKSM,SMR,SKSM,SMR,"11.1196, -74.2306"
SKSO,small_airport,Alberto Lleras Camargo Airport,8155,SA,CO,CO-BOY,Sogamoso,SKSO,SOX,SKSO,SOX,"5.67732, -72.9703"
SKSP,medium_airport,Gustavo Rojas Pinilla International Airport,19,NA,CO,CO-SAP,San Andr?s,SKSP,ADZ,SKSP,ADZ,"12.5836, -81.7112"
SKSV,medium_airport,Eduardo Falla Solano Airport,920,SA,CO,CO-CAQ,San Vicente Del Cagu?n,SKSV,SVI,SKSV,SVI,"2.15217, -74.7663"
SKTA,small_airport,Tauramena Airport,1462,SA,CO,CO-CAS,Tauramena,SKTA,TAU,SKTA,TAU,"5.01281, -72.7424"
SKTB,small_airport,Tib? Airport,194,SA,CO,CO-NSA,Tib?,SKTB,TIB,SKTB,TBU,"8.63152, -72.7304"
SKTD,small_airport,Trinidad Airport,649,SA,CO,CO-CAS,Trinidad,SKTD,TDA,SKTD,TDA,"5.43278, -71.6625"
SKTL,small_airport,Golfo de Morrosquillo Airport,16,SA,CO,CO-SUC,Santiago de Tol?,SKTL,TLU,SKTL,TLU,"9.50945, -75.5854"
SKTM,medium_airport,Gustavo Vargas Airport,1050,SA,CO,CO-ARA,Tame,SKTM,TME,SKTM,TME,"6.45108, -71.7603"
SKTQ,medium_airport,Captain Ernesto Esguerra Cubides Air Base,585,SA,CO,CO-CAQ,Tres Esquinas,SKTQ,TQS,SKTQ,TQS,"0.7459, -75.234"
SKTU,heliport,Gonzalo Mej?a Airport,6,SA,CO,CO-ANT,Turbo,SKTU,TRB,SKTU,TRB,"8.071878, -76.740124"
SKUB,small_airport,Uribe Airport,8377,SA,CO,CO-MET,La Uribe,SKUB,URI,SKUB,,"3.2375, -74.347222"
SKUC,medium_airport,Santiago Perez Airport,420,SA,CO,CO-ARA,Arauca,SKUC,AUC,SKUC,AUC,"7.06888, -70.7369"
SKUI,medium_airport,El Cara?o Airport,204,SA,CO,CO-CHO,Quibd?,SKUI,UIB,SKUI,UIB,"5.69076, -76.6412"
SKUL,medium_airport,Heriberto G?l Mart?nez Airport,3132,SA,CO,CO-VAC,Tulu?,SKUL,ULQ,SKUL,ULQ,"4.08836, -76.2351"
SKUR,small_airport,Urrao Airport,6090,SA,CO,CO-ANT,Urrao,SKUR,URR,SKUR,URR,"6.32883, -76.1425"
SKVG,small_airport,Villa Garz?n Airport,1248,SA,CO,CO-PUT,Villa Garz?n,SKVG,VGZ,SKVG,VGZ,"0.978767, -76.6056"
SKVL,small_airport,Vel?squez Airport,566,SA,CO,CO-BOY,Puerto Boyac?,SKVL,PYA,SKVL,,"5.93904, -74.457"
SKVP,medium_airport,Alfonso L?pez Pumarejo Airport,483,SA,CO,CO-CES,Valledupar,SKVP,VUP,SKVP,VUP,"10.435, -73.2495"
SKVV,medium_airport,Vanguardia Airport,1394,SA,CO,CO-MET,Villavicencio,SKVV,VVC,SKVV,VVC,"4.16787, -73.6138"
